11	34.39174	7.050304	27.34005	0.8682116
9	8.848529	5.198098	14.26915	0.2228658
7	4.828348	2.462483	3.168316	0.05420271
9	28.8001	12.54842	0.93712	0.681882
8	5.953334	1.064425	11.38055	0.146969
9	15.92666	2.055514	17.06231	0.06926648
11	22.8596	3.054812	40.12019	0.3491832
9	13.3311	1.769678	20.60822	0.1420546
11	29.01106	10.24719	7.175044	0.480285
9	50.67683	15.61286	2.229862	1.061041
11	96.60015	40.04197	20.00339	1.450776
10	29.70453	18.3093	39.7519	0.195411
10	35.8917	9.078618	4.883874	0.8597336
11	21.4349	6.65352	32.96616	0.3419827
10	23.21333	6.475259	2.92438	0.6120914000000001
8	15.46355	6.819643	0.7328225	0.152462
11	23.22065	10.67945	46.40388	0.3580767
7	3.443064	0.3661751	4.285546	0.683373
12	24.50321	13.89305	9.280533	1.54419
10	10.9812	3.2058	4.772593	0.3074845
11	20.91219	13.83086	10.56744	0.806712
11	14.37249	6.74373	12.47466	0.6559713
6	0.00500625	0.000693125	9.648031	0.23631
9	6.500844	2.690264	9.217887	0.119123
10	29.57526	11.93489	4.143088	0.5309254
7	6.773573	2.1012	1.705355	0.4334565
10	24.42535	8.78408	4.442504	1.258655
8	3.173746	1.91871	15.21928	0.1204539
11	29.00005	14.99438	24.85545	0.3543619
8	9.931811	1.618377	11.19988	0.1671551
9	38.76847	5.931158	2.08687	0.5548946
8	6.655694	3.84346	3.851919	0.1459795
10	33.8497	14.59537	5.756266	1.122248
11	21.28971	4.560865	15.33325	1.2616420000000002
8	5.667468	2.158439	15.17955	0.0938267199999999
9	70.12543	22.77272	1.231002	0.9740708
9	23.68774	14.19569	0.7826462	0.5083243
11	29.64845	10.94333	26.33307	1.244548
11	19.75877	4.895007	31.78096	0.4426506999999999
12	11.63497	6.90195	9.966514	1.558401
11	16.62024	4.654738	26.03106	0.3176747
10	10.90152	5.104616	29.41341	0.1092591
11	20.54172	9.67447	24.36165	1.409855
7	0.6913394	0.0810125	20.41283	1.035719
6	0.2517167	0.02582667	28.64837	0.037722
10	39.18938	12.11749	3.334755	0.7952577
11	31.07309	15.25707	9.293081	1.4339179999999998
11	17.75579	6.147676	6.737646	0.4735564
11	18.92623	10.59332	34.45834	0.391985
6	5.629379	1.928833	0.9216713	0.1075455
10	14.70858	6.700526	26.28179	0.1647867
9	33.31963	20.25233	2.093879	0.7202244
11	13.5452	2.608777	34.55837	0.399726
9	35.74649	21.56693	2.186144	0.4904105
11	19.4631	3.14344	7.427257	0.3253399
9	25.93112	4.597667	1.831134	0.5031225
9	10.07201	3.604365	1.931502	0.5399938
7	1.900961	0.2802036	8.43874	0.0468822199999999
9	8.672592	2.568592	4.233448	1.154182
10	10.35545	6.531665	10.29461	0.08261408
10	13.95113	5.37767	16.97219	0.1162028
8	9.752505	1.889332	7.473193	0.2131112
7	7.047362	0.9844375	3.315814	0.1528134
10	27.4933	7.392819	34.59719	0.01256567
10	30.67407	10.98141	17.71608	0.101591
11	19.71022	11.09095	6.667522	0.8854864
11	19.78304	6.083025	30.12459	0.35833
11	18.96393	7.974482	18.36141	0.5062968
11	16.08783	5.203263	33.64201	0.3218181
8	12.00626	4.674838	0.9767167	0.1098279
10	10.3426	1.988529	13.31734	0.7723331
11	10.43246	5.863356	18.88289	0.5668651
8	7.594215	2.420408	5.592408	0.9692997
11	23.36675	16.17943	40.29697	0.3769922
9	8.050844	3.800765	9.828519	0.1072187
