421	928	1
424	171	290
292	615	737
292	303	1408
424	141	1057
279	586	189
447	106	842
279	345	228
524	431	1299
424	650	23
292	116	1
142	37	189
102	586	2107
319	644	1213
524	660	1097
191	776	228
1445	1696	189
479	24	1054
524	422	23
292	505	4
447	650	290
188	650	1
1378	360	416
524	158	23
1514	260	297
851	431	531
444	626	4
292	572	103
84	113	737
1445	1048	290
524	185	1
212	156	297
763	116	816
403	116	23
524	24	1
651	281	236
1326	113	228
1378	1610	68
279	431	290
447	1398	228
292	178	4
524	1141	370
524	242	68
292	1141	290
188	242	290
212	24	229
851	1033	23
732	360	323
421	24	23
69	345	685
1445	1649	149
871	296	785
404	2007	461
524	234	228
447	178	103
367	1512	290
479	303	23
444	83	254
212	542	222
819	627	228
1445	242	189
524	83	103
977	453	290
444	505	23
1062	429	68
444	156	428
403	199	1240
929	422	477
75	422	236
1378	1787	254
524	640	114
142	242	68
1378	1550	149
292	626	1240
871	171	785
524	24	290
524	1237	239
864	640	290
1326	360	290
524	327	254
155	1438	1097
447	138	1
421	134	149
292	198	59
846	374	114
125	165	290
212	2390	114
173	83	74
524	1112	189
421	281	1
692	26	290
1445	644	434
403	912	290
142	129	951
1445	1347	1465
421	650	959
319	644	189
279	650	428
421	116	114
292	113	59
292	141	634
142	627	1
851	650	1
279	24	1
1021	386	416
403	386	189
524	1792	816
925	644	737
367	1347	883
403	158	428
292	137	467
424	543	816
424	806	254
403	806	103
1445	83	239
292	462	290
292	604	290
403	116	68
413	24	1
223	627	634
223	626	228
292	626	228
1178	422	947
887	512	23
142	327	1380
1445	359	290
524	162	104
212	478	1
1445	242	228
292	260	290
403	134	290
279	386	461
851	463	428
292	1620	4
142	542	68
447	327	297
403	478	149
424	442	103
1822	171	222
1326	113	290
524	453	23
819	327	290
142	630	1
524	1343	4
1378	478	290
125	660	720
524	178	737
125	137	103
444	589	59
985	1032	114
279	137	115
479	626	290
212	360	290
84	178	114
524	487	297
524	650	151
212	422	290
169	627	254
851	178	297
653	1959	634
413	185	68
292	660	290
539	288	74
524	650	2069
1426	327	149
929	156	1240
401	650	884
142	137	228
403	754	634
447	242	3707
102	360	23
444	384	114
1205	1792	68
403	453	103
424	627	515
424	626	114
379	122	23
2914	532	1
292	604	23
479	156	114
142	626	68
368	650	428
524	153	297
319	2230	149
142	478	149
212	604	1240
279	452	23
524	26	150
212	626	290
887	137	114
444	21	290
715	627	290
447	928	1
479	242	103
292	198	1
279	83	74
142	386	228
447	658	290
1378	327	59
444	178	290
169	644	222
421	650	28
444	623	104
403	684	228
403	129	1097
1178	83	228
1022	156	290
524	462	1529
524	296	149
1074	1716	74
212	626	114
142	1407	629
887	487	231
155	406	1097
212	113	1
524	116	189
524	650	228
142	928	149
404	431	236
292	156	1
444	575	445
279	778	1163
125	626	634
1378	545	1
851	158	23
368	178	885
524	26	103
169	747	222
403	156	297
447	178	23
212	650	297
430	242	194
447	171	552
403	797	941
142	589	428
444	327	228
524	262	103
292	532	1686
851	199	239
212	627	629
142	806	228
444	650	1
403	242	1213
447	137	114
524	778	634
403	650	1
292	26	23
1445	650	290
1138	178	114
485	2009	290
84	487	737
301	198	1213
279	134	114
524	327	629
524	24	1200
447	26	1675
851	2390	434
191	627	1
539	626	228
367	650	290
212	1555	228
887	178	290
292	912	228
292	442	290
846	327	428
169	141	629
447	627	2359
1028	650	189
929	452	189
368	116	428
539	1679	254
212	24	290
223	8	195
142	134	561
212	912	149
191	83	1
292	626	1
403	141	290
223	242	228
279	327	297
1031	184	290
403	178	68
539	270	1
125	843	290
929	1141	533
1426	51	23
142	242	228
1694	1112	1
985	573	189
212	747	1
292	242	189
2990	586	461
292	650	149
368	487	68
2815	1112	228
4489	141	1
279	242	629
403	184	951
539	156	23
447	1173	96
223	113	737
1364	178	1331
279	327	290
1031	141	228
3674	134	290
321	178	323
191	1112	1097
212	234	685
524	412	189
653	24	1409
524	1815	290
279	327	629
421	116	103
401	1550	239
2869	429	114
421	116	59
212	26	68
403	327	490
403	1141	941
1138	360	290
1378	726	1529
284	644	2325
292	360	1408
1031	604	290
142	429	1
403	156	254
763	327	1192
485	178	103
528	158	23
524	627	4
1445	749	1
524	354	74
223	627	629
142	116	149
479	627	23
142	644	68
524	542	552
292	650	389
424	1649	1442
871	626	785
672	138	290
1031	178	290
212	234	68
292	776	1380
713	137	23
424	1318	290
367	234	1408
401	726	23
212	303	2107
368	640	1111
524	487	68
651	83	290
846	327	68
819	512	501
84	630	297
338	627	629
424	178	816
2064	912	1240
292	260	236
142	386	629
524	431	23
524	64	297
1022	945	1
2356	626	68
279	532	290
1028	650	1
1127	116	59
292	296	1
1745	178	370
1709	604	842
985	386	1
169	141	816
1190	1737	290
2064	156	1
279	478	434
2012	627	149
524	327	1
524	640	290
292	242	23
1031	158	236
577	1245	290
1062	650	74
403	3464	189
444	442	222
2682	644	290
524	141	289
524	83	23
447	432	290
142	451	634
279	422	297
444	478	290
524	650	290
421	178	737
524	586	290
864	650	23
331	627	883
424	928	236
279	137	114
1031	806	103
851	675	290
846	660	290
319	586	149
524	432	1388
2922	604	997
447	806	149
142	113	222
1326	199	228
2095	627	103
142	345	1380
125	384	290
401	360	1
340	1792	1380
479	2246	222
142	345	467
985	83	1
1445	116	515
524	137	231
651	327	149
864	185	195
2990	586	228
1021	24	1
524	5	68
1235	626	1675
479	1355	737
212	198	228
851	171	74
403	422	23
279	650	461
403	178	290
1326	116	634
524	452	290
292	589	1
1088	242	461
444	431	114
524	360	730
651	412	428
292	1033	103
819	138	290
188	431	3305
421	650	189
279	134	290
1445	589	23
447	1141	629
401	542	2107
279	431	52
2110	242	1
444	51	23
1803	185	23
524	684	370
292	24	114
524	178	1174
368	134	239
169	589	228
223	431	68
524	1141	114
985	386	290
292	650	737
1178	303	23
444	431	68
524	116	1881
292	303	467
846	120	629
447	806	446
1060	45	239
485	806	114
1445	431	59
279	327	239
188	120	103
368	589	290
651	345	103
142	1078	1
212	1910	1
1445	627	239
1028	505	23
524	431	236
368	327	1
447	1956	236
1160	185	737
524	604	737
524	260	114
1378	2987	103
292	1281	290
212	199	254
1031	2700	114
522	660	114
1326	604	149
169	327	1
292	746	467
1028	605	1
403	626	254
430	626	149
292	137	1
1378	178	883
1031	627	228
809	113	629
447	360	290
524	4266	290
142	726	68
524	604	114
125	83	145
1364	543	1
279	487	23
142	650	103
1326	650	151
1378	260	145
524	422	59
424	487	74
930	644	1
84	431	23
1326	778	74
871	178	785
2064	320	1
930	462	103
1445	650	428
279	431	236
447	1141	1
763	778	228
524	969	149
403	260	103
379	650	1783
1178	1198	290
524	83	59
2914	542	149
1031	327	428
539	198	941
807	512	74
292	422	370
902	83	1097
169	1141	785
1426	778	501
447	129	290
2544	478	23
1482	327	236
1364	660	239
403	640	1489
985	475	23
